date,AverageTemperature,Year,CityGroup_North-East,CityGroup_North-West,CityGroup_South-East,CityGroup_South-West,season_Fall,season_Spring,season_Summer,season_Winter,climate_type_Cfa,month_sin,month_cos,lat_sin,lat_cos,long_sin,long_cos,AverageTemperatureUncertainty,Anomaly,AverageTemperatureChangeVsLastMonth
1902-10-01,22.225,0.3546511627906977,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.0,-1.8369701987210297e-16,0.4213524058002907,0.9068969898099272,0.8608308583809804,-0.5088911801741748,-0.3198376145412587,-0.6102281112191823,-0.9997050768959179
1902-10-01,22.883000000000006,0.3546511627906977,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.0,-1.8369701987210297e-16,0.4213524058002907,0.9068969898099272,0.8447017973857531,-0.5352372123584814,-0.4546821551737325,-0.2867740720888479,-0.8154877296765283
1902-10-01,24.115,0.3546511627906977,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,-1.8369701987210297e-16,0.3957057956712232,0.9183773316410876,0.8685450273578991,-0.4956102656845058,-0.30635316047801153,0.3188420011764507,-0.8379431173737021
1902-10-01,21.872,0.3546511627906977,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.0,-1.8369701987210297e-16,0.3957057956712232,0.9183773316410876,0.8530047293528817,-0.5219031823064667,-0.38918623543795955,-0.7837528464973095,-0.7106959204230613
1902-11-01,21.445,0.3546511627906977,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.8660254037844386,0.5000000000000001,0.3957057956712232,0.9183773316410876,0.8530047293528817,-0.5219031823064667,-0.5163253737485778,-0.993653871890397,-0.17800422338460217
1902-11-01,23.114,0.3546511627906977,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.8660254037844386,0.5000000000000001,0.3957057956712232,0.9183773316410876,0.8685450273578991,-0.4956102656845058,-0.4932091667830108,-0.17322105835160642,-0.41669667779527725
1902-11-01,21.071,0.3546511627906977,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.8660254037844386,0.5000000000000001,0.4213524058002907,0.9068969898099272,0.8608308583809804,-0.5088911801741748,-0.6569489661224435,-1.1775016084173633,-0.4803202762705977
1902-11-01,22.293000000000006,0.3546511627906977,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.8660254037844386,0.5000000000000001,0.4213524058002907,0.9068969898099272,0.8447017973857531,-0.5352372123584814,-0.5625577876797115,-0.5768012500324586,-0.24578622698902763
1902-12-01,16.863999999999994,0.3546511627906977,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.5000000000000004,0.8660254037844384,0.4213524058002907,0.9068969898099272,0.8608308583809804,-0.5088911801741748,0.09432776025848236,0.13860399586453218,-1.7498813621866176
1902-12-01,18.676,0.3546511627906977,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.5000000000000004,0.8660254037844384,0.4213524058002907,0.9068969898099272,0.8447017973857531,-0.5352372123584814,0.213761496247245,1.0293315321930476,-1.5045354595693723
1902-12-01,19.282,0.3546511627906977,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.5000000000000004,0.8660254037844384,0.3957057956712232,0.9183773316410876,0.8685450273578991,-0.4956102656845058,0.16560273173564716,1.3272238539452994,-1.593941169845145
